Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio,Payment History,Number of Credit Accounts,Loan Amount,Interest Rate,Loan Term,Type of Loan
65,Female,Married,High School,Self-Employed,0.88,1661.5,6,2963718,1.96,12,Personal Loan
32,Female,Divorced,Master,Self-Employed,0.46,1449.0,7,4695942,5.35,36,Auto Loan
25,Female,Married,Bachelor,Self-Employed,0.1,1291.5,14,1897717,5.64,36,Auto Loan
31,Male,Divorced,Master,Self-Employed,0.83,1214.2,13,694076,6.07,12,Home Loan
40,Female,Married,Bachelor,Self-Employed,0.05,728.4,10,3978178,3.29,60,Home Loan
57,Male,Single,Master,Unemployed,0.73,1287.1,3,149133,4.05,60,Education Loan
38,Female,Widowed,Bachelor,Unemployed,0.77,607.6,3,3819697,7.41,36,Education Loan
33,Female,Married,Bachelor,Unemployed,0.35,2452.4,7,4549469,2.86,24,Auto Loan
62,Male,Divorced,PhD,Unemployed,0.82,1495.6,13,1472597,7.29,48,Personal Loan
35,Female,Widowed,Bachelor,Employed,0.52,1609.8,2,280001,5.44,24,Personal Loan
64,Female,Widowed,PhD,Unemployed,0.46,2734.0,1,4627631,6.84,60,Education Loan
41,Female,Divorced,Bachelor,Self-Employed,0.05,2145.1,9,3407570,6.5,24,Home Loan
43,Male,Married,High School,Self-Employed,0.29,520.1,9,1409298,2.95,48,Auto Loan
42,Female,Single,Bachelor,Unemployed,0.93,2857.9,7,4157413,5.48,24,Auto Loan
62,Male,Single,High School,Self-Employed,0.39,1092.9,7,792409,7.57,24,Personal Loan
58,Female,Married,High School,Unemployed,0.55,769.0,3,1727826,4.52,24,Education Loan
46,Male,Widowed,Bachelor,Self-Employed,0.53,2420.3,10,2451724,8.27,24,Personal Loan
32,Male,Widowed,High School,Employed,0.59,1751.2,2,4854636,4.67,12,Personal Loan
62,Female,Widowed,PhD,Employed,0.06,1584.4,11,723391,2.5,60,Education Loan
18,Female,Widowed,Master,Unemployed,0.36,1123.8,7,4709654,4.23,48,Home Loan
42,Male,Married,Bachelor,Unemployed,0.72,1868.7,9,347164,8.16,60,Auto Loan
24,Male,Widowed,High School,Unemployed,0.2,1186.0,1,3184209,3.74,12,Home Loan
26,Female,Divorced,Bachelor,Self-Employed,0.2,2754.0,13,2773779,7.58,12,Education Loan
41,Male,Widowed,PhD,Unemployed,0.01,1038.0,14,2868214,7.67,12,Education Loan
18,Female,Single,Bachelor,Employed,0.44,2710.9,4,2244967,3.95,12,Auto Loan
61,Female,Widowed,Bachelor,Self-Employed,0.88,1898.5,6,2030880,2.08,24,Home Loan
25,Female,Married,High School,Unemployed,0.05,2571.2,7,2811285,6.57,60,Auto Loan
41,Female,Single,PhD,Self-Employed,0.19,2282.1,10,2426338,3.68,36,Personal Loan
28,Male,Married,Master,Self-Employed,0.31,2241.7,7,4253780,6.98,48,Personal Loan
68,Female,Married,Master,Unemployed,0.73,1310.9,10,3903193,4.6,12,Personal Loan
34,Male,Single,High School,Self-Employed,0.64,1084.7,2,2827754,4.9,60,Home Loan
25,Female,Married,Bachelor,Employed,0.42,1027.2,14,2791460,6.95,12,Personal Loan
52,Male,Married,High School,Employed,0.76,2643.0,4,1265959,4.18,12,Auto Loan
52,Female,Widowed,High School,Self-Employed,0.61,2551.1,5,4273397,4.6,12,Home Loan
50,Male,Divorced,High School,Unemployed,0.9,1601.4,14,2123687,4.13,12,Auto Loan
22,Male,Married,Bachelor,Self-Employed,0.82,831.0,12,1629426,4.07,12,Education Loan
59,Female,Married,PhD,Employed,0.25,1455.6,1,4460627,5.18,48,Home Loan
56,Female,Married,High School,Self-Employed,0.27,2048.4,1,2366068,7.16,60,Auto Loan
58,Female,Widowed,Bachelor,Self-Employed,0.13,1636.0,10,2148421,4.03,12,Auto Loan
45,Female,Divorced,PhD,Employed,0.34,2450.5,3,930631,5.17,12,Home Loan
24,Male,Single,High School,Self-Employed,1.0,2994.1,10,295291,6.2,12,Education Loan
26,Female,Widowed,Master,Self-Employed,0.41,977.8,3,2545896,3.39,12,Home Loan
25,Male,Widowed,PhD,Unemployed,0.22,1649.1,12,1659959,3.44,24,Personal Loan
29,Male,Divorced,High School,Unemployed,0.76,1577.5,8,3880019,8.03,24,Personal Loan
51,Female,Divorced,PhD,Employed,0.54,1261.2,9,2198077,6.56,36,Education Loan
50,Male,Widowed,PhD,Employed,0.15,995.2,14,4794973,5.54,12,Auto Loan
65,Male,Single,PhD,Employed,0.38,664.2,11,3779484,6.03,36,Auto Loan
40,Male,Widowed,PhD,Unemployed,0.41,2717.8,12,1300906,1.71,48,Auto Loan
41,Male,Divorced,PhD,Employed,0.75,1549.6,1,1445367,5.83,36,Home Loan
54,Female,Single,PhD,Employed,0.02,1742.2,14,1550450,5.07,60,Home Loan
52,Female,Divorced,High School,Employed,0.27,2792.4,11,3731040,5.32,24,Education Loan
61,Female,Single,Master,Unemployed,0.52,2440.7,2,1699576,4.02,24,Personal Loan
57,Female,Married,Bachelor,Self-Employed,0.27,826.3,10,3256849,2.07,12,Auto Loan
39,Male,Divorced,PhD,Employed,0.63,1913.5,2,275976,2.85,12,Personal Loan
44,Male,Divorced,Bachelor,Self-Employed,0.48,1605.6,4,1615196,8.16,48,Home Loan
52,Female,Widowed,High School,Employed,0.36,2493.0,2,4216771,4.36,48,Home Loan
18,Female,Divorced,PhD,Self-Employed,0.95,2310.6,7,1055851,4.77,60,Home Loan
52,Female,Divorced,Master,Unemployed,0.63,2226.0,13,87994,1.87,12,Personal Loan
54,Male,Married,Bachelor,Unemployed,0.13,1351.4,9,4298506,1.76,12,Education Loan
64,Female,Divorced,PhD,Employed,0.56,2512.4,7,2674921,6.52,48,Education Loan
31,Female,Married,High School,Self-Employed,0.78,631.0,12,3551525,5.27,48,Home Loan
20,Female,Married,Master,Unemployed,0.71,899.1,6,1444730,5.06,48,Auto Loan
18,Male,Married,Bachelor,Employed,0.17,1339.1,10,4649158,3.2,24,Personal Loan
22,Male,Married,Bachelor,Employed,0.97,692.0,1,3803730,6.71,36,Home Loan
43,Male,Single,PhD,Unemployed,0.45,1087.5,11,4081650,2.68,36,Personal Loan
31,Male,Widowed,Master,Unemployed,0.16,2575.4,10,4364489,2.83,12,Personal Loan
56,Male,Single,Master,Employed,0.18,2870.6,9,1968615,4.72,24,Education Loan
44,Male,Divorced,Master,Self-Employed,0.1,1261.5,5,988534,3.5,48,Home Loan
26,Male,Single,Master,Self-Employed,0.8,1161.3,11,4478262,3.23,12,Education Loan
32,Male,Single,High School,Self-Employed,0.12,1199.7,5,2379320,6.02,24,Home Loan
32,Female,Divorced,Master,Employed,0.13,1194.3,6,3874376,6.06,60,Personal Loan
43,Female,Divorced,Bachelor,Unemployed,0.85,589.8,9,905668,7.27,24,Education Loan
59,Male,Divorced,Bachelor,Employed,0.34,2817.3,13,2689276,4.42,12,Personal Loan
30,Male,Single,High School,Unemployed,0.03,1034.2,8,1328155,2.01,36,Home Loan
68,Female,Single,Bachelor,Self-Employed,0.05,1550.0,8,994588,3.42,48,Auto Loan
49,Male,Divorced,Bachelor,Self-Employed,0.14,524.2,14,4459399,8.36,60,Education Loan
56,Male,Widowed,Master,Unemployed,0.21,2644.9,8,4012761,5.67,24,Education Loan
66,Male,Widowed,Bachelor,Unemployed,0.67,2327.9,1,491632,6.47,12,Personal Loan
69,Female,Married,High School,Employed,0.16,2866.9,1,1319752,1.55,12,Personal Loan
49,Female,Divorced,Master,Self-Employed,0.12,2454.0,8,4041103,5.13,48,Auto Loan
21,Female,Married,PhD,Employed,0.76,1284.3,5,539954,1.76,12,Education Loan
47,Female,Widowed,Master,Employed,0.67,1119.7,9,4060807,5.48,12,Home Loan
54,Female,Married,High School,Employed,0.44,2244.3,2,3023337,7.95,48,Home Loan
40,Male,Divorced,Master,Self-Employed,0.55,1410.3,9,1421910,8.28,60,Education Loan
56,Female,Divorced,Master,Employed,0.31,1915.5,12,1421188,5.28,36,Education Loan
62,Male,Divorced,High School,Employed,0.48,515.6,14,4071367,4.71,36,Education Loan
32,Male,Single,Master,Employed,0.51,654.7,8,36505,8.12,24,Auto Loan
60,Female,Married,High School,Employed,0.39,1838.4,9,3716729,6.22,60,Home Loan
46,Female,Widowed,High School,Employed,0.91,1915.2,4,1660375,1.95,24,Home Loan
53,Male,Widowed,PhD,Employed,0.02,2378.6,1,1885530,4.76,36,Personal Loan
30,Male,Widowed,Bachelor,Self-Employed,0.78,829.9,1,222204,3.18,48,Personal Loan
49,Male,Single,Bachelor,Employed,0.12,1783.0,5,538168,4.79,12,Education Loan
24,Female,Single,Master,Unemployed,0.8,986.1,2,983215,4.69,36,Personal Loan
68,Female,Divorced,Master,Employed,0.62,733.0,14,577827,5.58,60,Auto Loan
39,Female,Widowed,PhD,Employed,0.84,1526.2,8,2347208,4.0,36,Home Loan
45,Female,Single,PhD,Self-Employed,0.1,908.3,10,1277633,2.65,60,Home Loan
19,Female,Divorced,PhD,Self-Employed,0.56,1054.5,11,3694815,5.03,60,Personal Loan
59,Male,Widowed,High School,Unemployed,0.5,1293.9,5,4712104,7.31,60,Education Loan
62,Female,Married,PhD,Unemployed,0.71,1148.5,5,2036182,6.15,24,Personal Loan
23,Male,Divorced,PhD,Self-Employed,0.53,719.0,2,4648246,3.87,48,Education Loan
45,Male,Single,Master,Self-Employed,0.54,724.8,7,58784,8.05,36,Auto Loan
45,Male,Single,PhD,Employed,0.43,983.1,13,2220186,7.89,48,Home Loan
61,Female,Divorced,High School,Self-Employed,0.31,626.4,8,2541196,2.97,12,Auto Loan
61,Female,Divorced,High School,Unemployed,0.48,2066.1,10,3210090,1.78,36,Home Loan
37,Female,Single,Master,Employed,0.12,1218.3,13,63997,6.69,48,Auto Loan
47,Male,Married,PhD,Unemployed,0.96,1199.4,1,2100053,7.29,48,Personal Loan
28,Male,Widowed,PhD,Employed,0.71,1330.0,2,4385717,8.28,12,Auto Loan
45,Male,Married,High School,Self-Employed,0.95,2157.0,10,810981,7.73,60,Auto Loan
42,Male,Divorced,PhD,Unemployed,0.23,2676.6,4,2950504,5.7,36,Personal Loan
56,Male,Married,PhD,Employed,0.88,2397.7,5,4944990,5.21,36,Home Loan
50,Male,Single,PhD,Employed,0.81,2318.8,13,1472108,1.69,12,Home Loan
18,Female,Divorced,Bachelor,Self-Employed,0.68,1711.0,2,4753216,3.23,60,Personal Loan
44,Female,Widowed,Master,Self-Employed,0.63,2234.5,1,580993,4.72,36,Auto Loan
69,Female,Single,Bachelor,Self-Employed,0.32,1881.9,9,1260469,5.9,36,Auto Loan
30,Female,Single,Master,Unemployed,0.82,1040.6,14,4087348,5.4,36,Auto Loan
58,Male,Widowed,High School,Employed,0.5,1021.5,1,4904450,6.7,60,Education Loan
20,Male,Widowed,PhD,Self-Employed,0.07,1241.0,13,2183577,3.46,12,Home Loan
56,Female,Married,Master,Unemployed,0.31,2777.0,4,2603449,5.45,36,Auto Loan
23,Male,Divorced,Bachelor,Unemployed,0.94,1868.5,2,1598858,2.12,48,Home Loan
25,Female,Widowed,PhD,Unemployed,0.85,2334.8,11,1028543,4.4,60,Auto Loan
44,Female,Widowed,High School,Self-Employed,0.98,1366.4,4,4316219,6.75,24,Personal Loan
26,Female,Divorced,Master,Self-Employed,0.63,1519.3,8,395105,6.35,12,Personal Loan
54,Male,Widowed,Master,Employed,0.25,813.9,8,3435077,8.43,48,Home Loan
50,Female,Widowed,Master,Employed,0.16,928.2,11,4523125,3.45,36,Home Loan
68,Female,Married,PhD,Self-Employed,0.19,2568.4,12,4237234,4.99,24,Personal Loan
59,Female,Single,Bachelor,Unemployed,0.02,1962.1,9,1131889,3.81,12,Education Loan
61,Male,Single,Bachelor,Unemployed,0.39,1343.8,13,759211,4.58,60,Personal Loan
41,Male,Single,Master,Unemployed,0.19,2507.1,11,3268881,7.5,24,Auto Loan
32,Female,Single,High School,Employed,0.41,1116.3,12,3641453,6.29,24,Education Loan
49,Male,Widowed,High School,Unemployed,0.93,2940.1,5,3960476,7.68,48,Personal Loan
49,Male,Divorced,Bachelor,Employed,0.43,1362.0,7,2003384,2.92,12,Education Loan
41,Male,Divorced,High School,Employed,0.88,1343.3,3,2195028,7.61,48,Education Loan
58,Male,Married,Bachelor,Unemployed,0.61,1279.8,10,4813958,1.92,48,Education Loan
69,Male,Married,Master,Unemployed,0.25,805.3,4,547691,7.72,36,Home Loan
66,Male,Widowed,Bachelor,Self-Employed,0.36,777.8,10,3497924,3.8,60,Personal Loan
66,Male,Divorced,Bachelor,Self-Employed,0.08,2120.3,9,782838,3.7,24,Home Loan
69,Male,Divorced,Master,Unemployed,0.33,2687.8,10,271420,5.08,12,Home Loan
29,Male,Single,High School,Employed,0.68,2476.3,10,487843,8.08,60,Auto Loan
56,Male,Widowed,Bachelor,Employed,0.07,852.8,14,4539943,1.83,60,Auto Loan
19,Female,Widowed,Bachelor,Employed,0.21,1864.0,12,2270156,3.97,12,Education Loan
20,Female,Single,Master,Employed,0.38,764.0,1,4562538,7.5,60,Education Loan
66,Male,Widowed,High School,Employed,0.98,613.2,2,4600905,4.27,36,Auto Loan
54,Female,Widowed,Bachelor,Self-Employed,0.78,2141.0,5,1835260,2.89,60,Auto Loan
66,Female,Married,Master,Unemployed,0.73,1837.9,3,2075306,4.47,36,Personal Loan
34,Male,Divorced,Bachelor,Self-Employed,0.12,705.1,2,4785833,4.2,24,Education Loan
66,Male,Widowed,PhD,Employed,0.78,587.3,1,3857593,7.91,24,Education Loan
19,Male,Married,Master,Employed,0.79,2974.4,10,4197694,6.83,48,Auto Loan
19,Female,Divorced,High School,Employed,0.6,575.1,3,1222980,5.04,36,Personal Loan
45,Female,Single,High School,Employed,0.99,1611.3,1,3109834,8.42,24,Auto Loan
40,Male,Married,High School,Unemployed,0.33,1761.5,12,1265973,4.76,60,Auto Loan
54,Male,Married,High School,Employed,0.94,793.2,1,3574507,1.91,12,Home Loan
49,Male,Divorced,Bachelor,Unemployed,0.91,922.7,12,4309489,3.34,12,Education Loan
50,Female,Single,Bachelor,Employed,0.01,1379.5,1,3192132,4.55,36,Personal Loan
18,Female,Married,High School,Unemployed,0.45,2404.2,8,4259486,2.6,48,Home Loan
36,Female,Widowed,High School,Self-Employed,0.98,1767.7,3,3450863,8.13,60,Education Loan
19,Female,Widowed,High School,Employed,0.1,2094.8,11,4907327,6.87,36,Auto Loan
61,Male,Widowed,Bachelor,Unemployed,0.55,2962.9,1,3048783,3.38,12,Personal Loan
43,Male,Single,High School,Self-Employed,0.98,2420.0,7,3381189,5.64,36,Education Loan
49,Male,Married,High School,Employed,0.56,1585.9,10,1882508,6.55,60,Auto Loan
23,Male,Widowed,PhD,Employed,0.19,1616.1,3,2927369,8.09,24,Home Loan
49,Female,Single,PhD,Employed,0.58,2046.9,8,4812738,7.67,60,Personal Loan
21,Female,Widowed,High School,Unemployed,0.2,2163.4,4,4776589,5.11,24,Education Loan
28,Male,Divorced,Master,Unemployed,0.52,1751.8,4,154375,6.92,24,Home Loan
34,Male,Married,High School,Self-Employed,0.07,2112.2,5,4239491,5.44,24,Auto Loan
55,Female,Married,PhD,Unemployed,0.61,558.8,6,667253,5.37,36,Auto Loan
41,Male,Single,Master,Unemployed,0.52,1574.1,7,3193818,2.3,12,Education Loan
22,Female,Single,Master,Employed,0.74,1197.3,14,3089578,2.38,36,Auto Loan
69,Male,Married,High School,Employed,0.63,822.9,14,1528560,5.21,12,Personal Loan
51,Male,Widowed,PhD,Employed,0.55,748.9,4,1904420,3.38,60,Education Loan
23,Male,Widowed,PhD,Employed,0.69,2008.0,8,551797,1.65,48,Home Loan
39,Male,Divorced,Master,Employed,0.14,1809.0,13,4272957,6.56,60,Education Loan
28,Male,Widowed,High School,Employed,0.6,1134.0,6,702289,1.73,36,Education Loan
65,Male,Single,Bachelor,Employed,0.17,1677.4,14,3547498,5.67,36,Home Loan
33,Male,Single,Bachelor,Self-Employed,0.93,1730.6,1,1806218,5.27,12,Auto Loan
50,Female,Widowed,PhD,Self-Employed,0.07,987.5,1,3694032,8.28,36,Home Loan
26,Female,Single,Bachelor,Self-Employed,0.43,2130.2,9,2394318,4.89,24,Personal Loan
23,Female,Married,PhD,Self-Employed,0.7,2452.3,10,562226,1.95,36,Auto Loan
33,Female,Married,PhD,Employed,0.46,2478.7,6,270710,5.36,12,Education Loan
46,Female,Widowed,PhD,Self-Employed,0.09,2006.2,10,1290896,7.39,12,Auto Loan
20,Male,Married,Bachelor,Employed,0.55,1779.1,8,2050403,8.48,24,Auto Loan
37,Male,Married,PhD,Self-Employed,0.64,652.5,13,3813074,4.51,12,Personal Loan
53,Female,Divorced,Master,Unemployed,0.7,1219.6,7,4156226,3.74,48,Auto Loan
36,Male,Divorced,High School,Self-Employed,0.37,733.2,12,948193,7.85,60,Auto Loan
43,Female,Married,High School,Self-Employed,0.56,2909.6,6,1415419,2.84,36,Auto Loan
20,Female,Widowed,PhD,Employed,0.45,837.7,4,3872012,5.81,48,Education Loan
36,Male,Divorced,High School,Self-Employed,0.67,879.4,7,1553103,4.34,36,Auto Loan
37,Male,Single,Bachelor,Unemployed,0.58,2723.9,9,3517145,1.79,48,Home Loan
49,Male,Single,Bachelor,Employed,0.53,2859.8,14,1788244,3.93,36,Auto Loan
24,Female,Single,High School,Employed,0.25,2414.6,11,3912216,3.36,24,Personal Loan
69,Male,Widowed,Bachelor,Self-Employed,0.0,513.5,10,4792337,6.3,12,Auto Loan
58,Female,Married,High School,Employed,0.17,503.4,10,3151537,8.14,12,Auto Loan
50,Female,Single,High School,Employed,0.12,1445.3,14,1190859,3.38,24,Education Loan
57,Female,Widowed,High School,Employed,0.45,858.5,7,4597749,7.18,48,Home Loan
56,Male,Divorced,PhD,Employed,0.61,546.0,1,3536844,1.89,60,Auto Loan
35,Male,Married,High School,Employed,0.21,1660.2,10,1990425,5.27,48,Home Loan
57,Female,Divorced,PhD,Employed,0.94,2857.7,9,4760411,1.99,12,Personal Loan
18,Male,Widowed,High School,Unemployed,0.01,1309.5,13,1471742,8.04,60,Education Loan
28,Male,Single,High School,Self-Employed,0.77,2152.9,4,2951616,6.86,36,Home Loan
45,Male,Single,High School,Unemployed,0.63,2130.6,3,2484370,6.11,60,Education Loan
42,Female,Widowed,Bachelor,Employed,0.37,1127.7,4,2088937,7.27,48,Auto Loan
67,Female,Single,PhD,Employed,0.05,2126.1,4,3751372,6.03,24,Personal Loan
40,Male,Married,PhD,Self-Employed,0.63,1030.8,13,537340,8.28,36,Education Loan
48,Female,Widowed,High School,Unemployed,0.39,805.0,10,1365097,6.5,48,Auto Loan
47,Male,Divorced,High School,Self-Employed,0.94,2253.5,11,2065397,7.97,36,Home Loan
59,Male,Widowed,Bachelor,Unemployed,0.54,783.6,2,1257486,5.12,60,Personal Loan
52,Male,Married,Bachelor,Employed,0.94,2992.3,14,2437115,2.32,12,Personal Loan
24,Male,Married,Bachelor,Self-Employed,0.22,958.6,12,1958697,5.2,48,Home Loan
33,Female,Widowed,PhD,Self-Employed,0.73,1985.4,14,1089037,2.39,24,Home Loan
43,Female,Widowed,PhD,Employed,0.62,1528.4,1,3962910,5.65,60,Personal Loan
65,Female,Single,PhD,Self-Employed,0.74,816.0,12,4161951,4.88,48,Education Loan
69,Male,Married,High School,Unemployed,0.21,569.6,10,3165200,5.86,24,Personal Loan
66,Male,Widowed,PhD,Unemployed,0.66,2056.8,12,865695,1.57,48,Home Loan
19,Male,Widowed,Master,Unemployed,0.5,2516.9,1,122036,2.86,60,Education Loan
18,Female,Married,Master,Unemployed,0.74,2605.0,13,4392978,4.94,48,Auto Loan
65,Male,Widowed,Bachelor,Employed,0.33,1706.8,14,2394819,8.15,36,Personal Loan
29,Female,Single,PhD,Self-Employed,0.89,2443.6,8,3841854,4.19,60,Home Loan
22,Female,Married,Master,Unemployed,0.08,2182.1,14,899694,4.47,48,Auto Loan
54,Female,Single,Bachelor,Employed,0.81,2310.6,2,600348,6.5,12,Personal Loan
49,Female,Single,PhD,Self-Employed,0.86,1731.5,12,2770911,5.73,48,Personal Loan
26,Female,Single,High School,Self-Employed,0.82,2083.5,10,1381446,3.59,36,Education Loan
